Period,Length,,,
Early,27.6,,,
Early,27.7,,,
Early,27.7,,,
Early,27.8,,,
Early,28.1,,,
Early,28.4,,,
Early,28.4,,,
Early,28.5,,,
Early,28.6,,,
Early,28.8,,,
Early,29,,,
Early,29.1,,,
Early,29.1,,,
Early,29.5,,,
Early,29.7,,,
Early,30,,,
Early,30.1,,,
Early,30.1,,,
Early,30.1,,,
Early,30.3,,,
Early,30.4,,,
Early,30.5,,,
Early,30.6,,,
Early,31.5,,,
Early,31.7,,,
Early,31.7,,,
Early,31.8,,,
Early,32.5,,,
Early,32.7,,,
Early,32.8,,,
Early,32.9,,,
Early,32.9,,,
Early,33,,,
Early,33.2,,,
Early,33.4,,,
Early,33.5,,,
Early,33.7,,,
Early,33.8,,,
Early,34.2,,,
Early,34.2,,,
Early,34.3,,,
Early,34.5,,,
Early,34.5,,,
Early,34.6,,,
Early,34.7,,,
Early,34.7,,,
Early,34.8,,,
Early,34.9,,,
Early,35.1,,,
Early,35.3,,,
Early,35.3,,,
Early,35.5,,,
Early,35.5,,,
Early,35.7,,,
Early,35.9,,,
Early,36,,,
Early,36.1,,,
Early,36.5,,,
Early,36.6,,,
Early,37.8,,,
Early,37.8,,,
Early,38,,,
Early,38,,,
Early,38.1,,,
Early,38.4,,,
Early,38.4,,,
Early,38.5,,,
Early,38.5,,,
Early,38.5,,,
Early,38.6,,,
Early,38.8,,,
Early,39.6,,,
Early,39.8,,,
Early,40,,,
Early,40.1,,,
Early,40.2,,,
Early,40.6,,,
Early,41.1,,,
Early,41.4,,,
Early,41.9,,,
Early,42,,,
Early,43.1,,,
Early,43.2,,,
Early,43.3,,,
Early,43.6,,,
Early,43.9,,,
Early,44.1,,,
Early,44.4,,,
Early,44.5,,,
Early,45.3,,,
Early,47.8,,,
Early,48.1,,,
Early,50.8,,,
Early,50.9,,,
Early,53,,,
Early,54.7,,,
Early,55.1,,,
Early,55.6,,,
Early,55.8,,,
Early,56.1,,,
Early,56.4,,,
Early,57.1,,,
Early,58,,,
Early,89.1,,,
Early,92.3,,,
Early,96.3,,,
Early,106.2,,,
Early,134.7,,,
Late,9.1,,,
Late,10.1,,,
Late,11.4,,,
Late,12.1,,,
Late,12.5,,,
Late,12.6,,,
Late,13.6,,,
Late,13.8,,,
Late,14.7,,,
Late,14.8,,,
Late,15.2,,,
Late,15.4,,,
Late,16.1,,,
Late,18.1,,,
Late,19.1,,,
Late,19.8,,,
Late,19.9,,,
Late,20.7,,,
Late,21.3,,,
Late,21.8,,,
Late,24.4,,,
Late,24.4,,,
Late,25.1,,,
Late,30.3,,,
Late,48.8,,,
