SAMPLE,LOCATION,TYPE,LENGTH (cm),WIDTH (cm),THICKNESS (cm),WEIGHT (g),CORTEX,RETOUCH,COLOUR,Source (Sr),Source ((Fe),Early,,,,,,,,,,,,
OHW 12,OHAWE,Flake,24.5,23.9,2.6,2,N,Y,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 13,OHAWE,Debitage,19.9,11.8,4.2,1,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
OHW 14,OHAWE,Flake,21.7,19.7,4.2,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 15,OHAWE,Flake,40.1,11.1,2.3,1,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
OHW 16,OHAWE,Flake,22.9,18.2,3,1,N,N,Green,Waihi,Hahei,Y,,,,,,,,,,,,
OHW 17,OHAWE,Flake,14.3,18,4.2,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 18,OHAWE,Core,30.6,20.5,14.3,8,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
OHW 19,OHAWE,Flake,53,30.5,12,10,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
OHW 20,OHAWE,Core,48.2,31.4,22,25,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 21,OHAWE,Flake,55.6,36.1,13.4,17,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 22,OHAWE,Flake,48.1,27.2,7.7,6,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
OHW 23,OHAWE,Core,43,42.3,12.8,19,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
OHW 24,OHAWE,Flake,56.4,45.6,10.7,22,N,Y,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
OHW 25,OHAWE,Flake,34.5,59.1,8.7,16,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 27,OHAWE,Flake,31.8,14.6,3.4,2,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 28,OHAWE,Debitage,13.9,10.8,3.1,1,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
OHW 29,OHAWE,Debitage,24.8,7.9,7,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 30,OHAWE,Flake,13.1,18.4,4.8,1,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
OHW 31,OHAWE,Debitage,16.9,14.1,6,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 32,OHAWE,Flake,20.8,17.4,6.8,2,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
OHW 33,OHAWE,Flake,30.4,10.3,5.7,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 34,OHAWE,Debitage,22.1,10.1,6.5,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 35,OHAWE,Core,40,29,11.9,17,Y,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
OHW 36,OHAWE,Flake,22.4,21.5,8.6,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 37,OHAWE,Debitage,15,11.2,7.2,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 38,OHAWE,Debitage,35.3,17.9,6.5,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 39,OHAWE,Debitage,21.4,16.5,3.4,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 40,OHAWE,Debitage,11.3,18.2,2.8,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 41,OHAWE,Flake,55.1,63.7,15.3,47,N,Y,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 42,OHAWE,Flake,25.6,39.2,4.6,4,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
OHW 43,OHAWE,Flake,14.5,12.6,2,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 44,OHAWE,Flake,40,71.8,15.7,30,N,Y,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 45,OHAWE,Debitage,11.4,11.7,4.5,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 46,OHAWE,Flake,24.3,22.6,2.9,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 47,OHAWE,Flake,21,36,5.6,4,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 48,OHAWE,Flake,15.7,22.3,2.2,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
OHW 49,OHAWE,Core,68,37,18.2,56,Y,Y,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
PKT 1,PUKETAPU PA,Flake,24.4,32.7,5.3,3,N,N,Grey ,Hahei/Tairua,Hahei,N,,,,,,,,,,,,
PKT 2,PUKETAPU PA,Flake,16.1,16.7,1.8,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 3,PUKETAPU PA,Flake,19.1,15.6,3,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 4,PUKETAPU PA,Flake,13.8,12.4,6,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 5,PUKETAPU PA,Debitage,17.2,13.5,4.5,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 6,PUKETAPU PA,Flake,15.4,14.2,2,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 7,PUKETAPU PA,Core,14.5,13.4,7.3,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 8,PUKETAPU PA,Flake,12.5,11.6,3.9,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 9,PUKETAPU PA,Flake,12.1,9.1,3.3,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 10,PUKETAPU PA,Flake,13.6,13.3,3.8,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 11,PUKETAPU PA,Flake,12.6,11.9,2.9,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 12,PUKETAPU PA,Flake,15.2,16.2,3.8,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 13,PUKETAPU PA,Flake,14.8,12.6,2.7,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 14,PUKETAPU PA,Flake,19.9,13.3,4.4,1,N,N,Green,Hahei/Tairua,Unknown,N,,,,,,,,,,,,
PKT 15,PUKETAPU PA,Flake,20.7,11.9,4.9,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 16,PUKETAPU PA,Flake,21.8,19.9,6,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 17,PUKETAPU PA,Debitage,21.9,11,5,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 18,PUKETAPU PA,Flake,19.8,16.9,5.5,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 19,PUKETAPU PA,Flake,24.4,28.4,5,3,N,Y,Grey,Hahei/Tairua,Hahei,N,,,,,,,,,,,,
PKT 20,PUKETAPU PA,Debitage,22.1,12.7,4.6,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 21,PUKETAPU PA,Flake,18.1,14.4,4,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 22,PUKETAPU PA,Flake,10.1,17.5,4.8,1,N,N,Grey,Hahei,Hahei,N,,,,,,,,,,,,
PKT 23,PUKETAPU PA,Flake,11.4,21.4,2.3,1,N,N,Grey,Hahei/Tairua,Hahei,N,,,,,,,,,,,,
PKT 24,PUKETAPU PA,Flake,14.7,18.4,2.1,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
PKT 25,PUKETAPU PA,Flake,21.3,18.7,3.8,1,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TRT 1,TE RANGATAPU,Flake,32.7,22.9,4.9,4,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
TRT 2,TE RANGATAPU,Flake,18.8,19.7,6,2,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
TRT 3,TE RANGATAPU,Core,19.5,16.6,9.7,2,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
TRT 4,TE RANGATAPU,Flake,17.1,20.4,3.8,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
TRT 5,TE RANGATAPU,Flake,33.2,41,9.8,10,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
TRT 6,TE RANGATAPU,Flake,30,29.3,3.6,4,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
TRT 7,TE RANGATAPU,Flake,16.3,25.3,3,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
TRT 8,TE RANGATAPU,Flake,18.5,11.4,2.6,1,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
TRT 9,TE RANGATAPU,Flake,18.1,11.3,4.4,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
TRT 10,TE RANGATAPU,Flake,12,23.1,3,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
TRT 11,TE RANGATAPU,Debitage,23.8,11.3,2.5,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
TRT 12,TE RANGATAPU,Flake,11.7,18.4,3.4,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WRA 1,WAREA KAINGA,Flake,48.8,22.5,12.6,10,N,N,Grey,Hahei/Tairua,Hahei,N,,,,,,,,,,,,
WRA 2,WAREA KAINGA,Debitage,25.5,19.4,4.7,3,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
WRA 3,WAREA KAINGA,Flake,30.3,24.2,6,3,N,N,Green,Mayor Island,Mayor Island,N,,,,,,,,,,,,
WRA 4,WAREA KAINGA,Flake,25.1,14.3,2.3,1,N,N,Grey,Hahei/Tairua,Hahei,N,,,,,,,,,,,,
WRA 5,WAREA KAINGA,Flake,9.1,17.9,2.9,1,N,N,Green,Hahei/Tairua,Hahei,N,,,,,,,,,,,,
WRA 6,WAREA KAINGA,Debitage,12.9,8.4,5.6,1,N,N,Green,Hahei ,Hahei,N,,,,,,,,,,,,
