SAMPLE,LOCATION,TYPE,LENGTH (cm),WIDTH (cm),THICKNESS (cm),WEIGHT (g),CORTEX,RETOUCH,COLOUR,Source (Sr),Source ((Fe),Early,,,,,,,,,,,,
KPN 2,KAUPOKONUI,Flake,58,48.6,19.8,47,N,Y,Grey,Huruiki,,Y,,,,,,,,,,,,
KPN 3,KAUPOKONUI,Core,93.6,46.5,19.3,78,Y,Y,Grey,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 4,KAUPOKONUI,Flake,106.2,33.6,10.4,48,Y,Y,Grey,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 5,KAUPOKONUI,Flake,39.6,86.7,26.1,66,N,Y,Grey,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 6,KAUPOKONUI,Flake,30.1,27,5.4,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 7,KAUPOKONUI,Core,31.8,27.1,9.7,7,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 8,KAUPOKONUI,Flake,29.1,25.1,5.2,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 9,KAUPOKONUI,Core,36,24.14,11.6,7,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 10,KAUPOKONUI,Flake,38.5,19.8,4.6,4,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 11,KAUPOKONUI,Flake,33.5,19.4,5.1,4,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 12,KAUPOKONUI,Core,31.7,27.5,6.1,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 13,KAUPOKONUI,Flake,35.3,31.6,5.3,4,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 14,KAUPOKONUI,Core,29.2,21.9,9.5,6,N,Y,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 15,KAUPOKONUI,Debitage,22.3,11.6,3.7,1,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 16,KAUPOKONUI,Debitage,12.5,19.5,4.5,1,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 17,KAUPOKONUI,Flake,50.8,72.4,20.5,54,N,Y,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 18,KAUPOKONUI,Flake,47.8,31.2,8.5,11,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 19,KAUPOKONUI,Flake,56.1,39.8,8.6,16,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 20,KAUPOKONUI,Core,63.6,45.5,20.75,48,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 21,KAUPOKONUI,Core,52.3,43.6,18.5,42,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 22,KAUPOKONUI,Flake,55.8,25.2,9,10,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 23,KAUPOKONUI,Flake,36.6,29.9,6.8,8,N,Y,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 24,KAUPOKONUI,Flake,43.2,29.8,5.4,6,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 25,KAUPOKONUI,Flake,43.3,32.2,9.9,10,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 26,KAUPOKONUI,Debitage,41.3,20.1,5.8,3,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 27,KAUPOKONUI,Flake,38.8,4.7,8.6,5,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 28,KAUPOKONUI,Core,42.2,22,9.9,8,N,Y,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 29,KAUPOKONUI,Flake,38,26.5,6.5,5,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 30,KAUPOKONUI,Flake,43.6,30,8.5,7,N,Y,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 31,KAUPOKONUI,Flake,41.1,31.7,5.5,4,N,Y,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 32,KAUPOKONUI,Flake,38.1,20.4,5.3,3,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 33,KAUPOKONUI,Flake,35.5,25.3,5.4,3,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 34,KAUPOKONUI,Core,24.5,25.3,10.7,7,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 35,KAUPOKONUI,Flake,28.6,24,4.8,2,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 36,KAUPOKONUI,Flake,27.4,23.7,6.1,3,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 37,KAUPOKONUI,Flake,27.7,24.6,6.7,5,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 38,KAUPOKONUI,Flake,21.2,27.3,5.7,2,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 39,KAUPOKONUI,Flake,23.6,17.4,6.1,3,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 40,KAUPOKONUI,Flake,35.1,27,4.9,3,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 41,KAUPOKONUI,Flake,37.8,25.9,4.3,3,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 42,KAUPOKONUI,Flake,24.6,22.9,3,1,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 43,KAUPOKONUI,Core,31.8,26.4,7.6,5,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 44,KAUPOKONUI,Core,48.7,25.3,16.7,11,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 45,KAUPOKONUI,Flake,33.4,17.5,6.6,3,N,Y,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 46,KAUPOKONUI,Debitage,53.5,25.2,9,13,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 47,KAUPOKONUI,Core,31.6,24.5,6.3,2,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 48,KAUPOKONUI,Flake,30.1,40.7,9.1,12,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 49,KAUPOKONUI,Flake,35.9,45.3,4.4,9,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 50,KAUPOKONUI,Flake,27.6,45.7,5.5,5,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 51,KAUPOKONUI,Flake,34.8,36.1,3.8,6,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 52,KAUPOKONUI,Flake,32.5,22.8,3.2,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 53,KAUPOKONUI,Flake,35.7,15.2,5.7,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 54,KAUPOKONUI,Flake,29.5,32.2,8.7,7,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 55,KAUPOKONUI,Core,41.8,31.4,9.7,11,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 56,KAUPOKONUI,Flake,25.2,40.1,5.8,5,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 57,KAUPOKONUI,Flake,34.2,24.2,5.6,5,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 58,KAUPOKONUI,Core,30.7,18.1,7.5,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 59,KAUPOKONUI,Debitage,29.6,27.1,9.5,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 60,KAUPOKONUI,Flake,33.7,28.7,6.8,3,N,N,Green,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 62,KAUPOKONUI,Flake,28.8,25.2,2.8,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 63,KAUPOKONUI,Flake,22.4,30.7,4.7,4,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 64,KAUPOKONUI,Flake,28.4,30.6,4,5,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 65,KAUPOKONUI,Flake,40.6,26.2,12.8,12,N,N,Grey,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 66,KAUPOKONUI,Flake,38.4,25.1,5.7,4,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 67,KAUPOKONUI,Core,28.4,16.4,8.3,5,N,N,Grey,Hahei,Hahei,Y,,,,,,,,,,,,
KPN 68,KAUPOKONUI,Flake,33,29.1,10.8,7,N,N,Grey,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 69,KAUPOKONUI,Flake,22.1,16.9,5.7,3,N,N,Green,Cooks Bay,Hahei,Y,,,,,,,,,,,,
KPN 70,KAUPOKONUI,Flake,36,33.9,4.9,4,N,N,Green,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 71,KAUPOKONUI,Flake,25.5,15.2,5.8,4,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 72,KAUPOKONUI,Flake,22.5,27.8,3.9,2,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
